precision,side,block,sample,variant,phase,seconds,iterations,operator_apps,preconditioner_apps,reductions,relative_residual,checksum
float,16,5,8,native,solve,0.00012932500000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,9,native,products,1.2937244010376926e-06,0,0,0,0,0,79192294.665039062
float,16,5,9,native,solve,0.00012816300000000001,4,10,8,14,3.3816904203655107e-06,0
float,16,5,9,reference,products,9.3800259423164958e-07,0,0,0,0,0,79192294.665039062
float,16,5,9,reference,solve,0.000129405,4,10,8,14,3.3816904203655107e-06,0
double,16,5,-1,native,profile_operator,6.5955000000000015e-05,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,native,profile_preconditioner,0.00014073800000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,native,profile_total,0.00030534799999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_operator,6.4572999999999993e-05,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_preconditioner,0.000139054,7,16,14,23,5.6037012670773305e-10,0
double,16,5,-1,reference,profile_total,0.00028692300000000002,7,16,14,23,5.6037012670773305e-10,0
double,16,5,0,reference,products,6.268470929345338e-07,0,0,0,0,0,79192302.082384101
double,16,5,0,reference,solve,0.00027816700000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,0,native,products,1.1030383030672974e-06,0,0,0,0,0,79192302.082384101
double,16,5,0,native,solve,0.00025489300000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,1,native,products,1.0930988860064092e-06,0,0,0,0,0,79192302.082384101
double,16,5,1,native,solve,0.000231198,7,16,14,23,5.6037012670773305e-10,0
double,16,5,1,reference,products,6.4036899130169387e-07,0,0,0,0,0,79192302.082384101
double,16,5,1,reference,solve,0.000260673,7,16,14,23,5.6037012670773305e-10,0
double,16,5,2,reference,products,6.6260857622462985e-07,0,0,0,0,0,79192302.082384101
double,16,5,2,reference,solve,0.00022620800000000001,7,16,14,23,5.6037012670773305e-10,0
double,16,5,2,native,products,1.0900057988707461e-06,0,0,0,0,0,79192302.082384101
double,16,5,2,native,solve,0.00023186999999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,3,native,products,1.0911004120250267e-06,0,0,0,0,0,79192302.082384101
double,16,5,3,native,solve,0.00023116799999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,3,reference,products,8.357747596520678e-07,0,0,0,0,0,79192302.082384101
double,16,5,3,reference,solve,0.00022887299999999999,7,16,14,23,5.6037012670773305e-10,0
double,16,5,4,reference,products,6.2729528460247215e-07,0,0,0,0,0,79192302.082384101
double,16,5,4,reference,solve,0.000244033,7,16,14,23,5.6037012670773305e-10,0
double,16,5,4,native,products,1.0929290401342897e-06,0,0,0,0,0,79192302.082384101
double,16,5,4,native,solve,0.000232671,7,16,14,23,5.6037012670773305e-10,0
double,16,5,5,native,products,1.0918390050358615e-06,0,0,0,0,0,79192302.082384101
double,16,5,5,native,solve,0.000252699,7,16,14,23,5.6037012670773305e-10,0
double,16,5,5,reference,products,6.2701236075080115e-07,0,0,0,0,0,79192302.082384101
double,16,5,5,reference,solve,0.000227681,7,16,14,23,5.6037012670773305e-10,0
double,16,5,6,reference,products,6.3300885090798103e-07,0,0,0,0,0,79192302.082384101
